CollectionName,Barcode,ShelfLocation,CallNumber,Author,Title,Publisher,PublicationYear
Easy Non-Fiction,39067044660490,,E 649.62 WAYNE V,"Wayne-von-Ko?nigslo?w, Andrea.",Toilet tales,"Annick Press Ltd.,",1985
Fiction,39067055193126,,FIC BARNES,"Barnes, Julian.",The sense of an ending,"Alfred A. Knopf,",2011
Fiction,39067048262392,,FIC CORNWEL,"Cornwell, Bernard.",Battle flag,"Perennial,",2001
Fiction,39067054515923,,FIC DOWNING,"Downing, David, 1946-",Potsdam station,"Soho Press,",2010
Fiction,39067060675307,New Books,FIC FINCH,"Finch, Charles (Charles B.)",The last enchantments,,2014
Fiction,39067056836103,,FIC GIBSON,"Gibson, Rachel.",Crazy on you,"Avon Impulse,",2012
Fiction,39067059341937,,FIC GULLAND,"Gulland, Sandra.",The last great dance on Earth,"Simon & Schuster,",2006
Fiction,39067056181146,,FIC HISLOP,"Hislop, Victoria.",The thread : a novel,"Harper,",2012
Fiction,39067057101515,,FIC JONES,"Jones, Darynda.",Fourth grave beneath my feet,"St. Martin's Press,",2012
Fiction,39067059315584,,FIC KINGSBU,"Kingsbury, Karen.",The chance,"Howard Books,",2013
Fiction,39067051993859,,FIC MCMURTR,"McMurtry, Larry.",Lonesome Dove : a novel,"Simon and Schuster,",2000
Fiction,39067019586266,,FIC RENDELL,"Rendell, Ruth, 1930-",Blood lines : long and short stories,"Crown Publishers,",1996
Fiction,39067038926881,,FIC ROBBINS,"Robbins, Harold, 1916-1997.",The carpetbaggers,"Pocket Books,",1962
Fiction,39067033790969,,FIC ROBBINS,"Robbins, Harold, 1916-1997.",Sin city,"Forge,",2002
Fiction,39067055565315,,FIC ROBERSO,"Roberson, Chris.","iZombie. [1], Dead to the world","DC Comics,",2011
Fiction,39067053374629,,FIC SKYHORS,"Skyhorse, Brando.",The Madonnas of Echo Park : a novel,"Free Press,",2010
Fiction,39067060903808,,FIC TOBOSO,"Toboso, Yana, 1984- author., artist.",Black butler. XVI,,2014
Fiction,39067026049845,,FIC WAUGH,"Waugh, Evelyn, 1903-1966.",The complete stories of Evelyn Waugh.,"Little, Brown, and Co.,",1998
Fiction,39067046549667,,FIC WAY,"Way, Daniel.","Ghost rider. [Vol. 3], Apocalypse soon","Marvel Pub.,",2008
Fiction,39067060441585,,FIC WOOD,"Wood, Brian, 1972- author.","DMZ, the deluxe edition, Book two",,2014
Fiction Fantasy,39067046330357,,FIC HOLT,"Holt, Tom, 1961-","You don't have to be evil to work here, but it helps","Orbit,",2006
Fiction Fantasy,39067059373658,,FIC RADFORD,"Radford, Irene.",The silent dragon : children of the dragon nimbus #1,"DAW Books,",2013
Fiction Fantasy,39067057005559,,FIC TOLKIEN,"Tolkien, J. R. R. (John Ronald Reuel), 1892-1973.",The two towers : being the second part of The lord of the rings,"Houghton Mifflin,",1965
Fiction Mystery,39067057102737,,FIC LA PLAN,"La Plante, Lynda.",Blood line,"Bourbon Street Books,",2012
Fiction Mystery,39067055578169,,FIC MANKELL,"Mankell, Henning, 1948-",Faceless killers,Vintage :,2003
Fiction Mystery,39067033035704,,FIC MOSLEY,"Mosley, Walter.",Six easy pieces : Easy Rawlins stories,"Atria Books,",2003
Fiction Mystery,39067046049221,,FIC TAYLOR,"Taylor, Phoebe Atwood, 1909-1976.",The Cape Cod mystery,"Countryman Press.,",2005
Fiction Sci Fi,39067050377518,,FIC MILLER,"Miller, Karen, 1961-",Star wars : the clone wars : wild space,"Ballantine Books,",2008
Graphic Novel,39067048129674,,TEEN FUJIWAR,"Fujiwara, Kiyo.",Wild ones. Vol. 6,"Viz Media,",2009
Graphic Novel,39067055254217,,TEEN HINO,"Hino, Matsuri.",Vampire Knight. Vol. 3,"Viz Media,",2007
